"Excavator starting route made by Laura1, Zappy and inputs from others in PvM Encyclopedia - Hi ryan's stream!",FALSE,Points,Accumulated Points
"Bank at the Archaeology Campus, grab your magic equipment, air + water runes and food, the armoured zombies are weak to water spells.",FALSE,,820
"Go north towards Fort Forinthry, continue the new foundations quest and continue it till you finish making the workshop, buy the supplies from Bill, buy 250 Steel nails and 30 extra planks from bill as well, need those for Dragon Slayer and In Search of the Myreque",FALSE,,820
"Note for above: Completing New Foundatins takes roughly an hour, you can complete it either now or later, it gives 30 points.",FALSE,,820
Give Bill the second beer you bought in the Blue Moon Inn,FALSE,10,830
Make a plank yourself on the sawmill in Fort Forinthry,FALSE,10,840
"Use the bank in the workshop, Grab your 4 Wool, 20 Black wool.",FALSE,10,850
Lodestone teleport to lumbridge,FALSE,,850
Spin your white & black wool on the first floor of lumbridge castle,FALSE,10,860
"Buy a Steel and Mithril hatchet from Bob, put the steel hatchet in toolbelt.",FALSE,,860
Collect the Beginner Lumbridge rewards from Explorer Jack north of Lumbridge castle rightclick him claim rewards as well. Put the lamp into Farming.,FALSE,10,870
Bank the white balls of wool and get an empty bucket and 50 bronze bolts (unf).,FALSE,,870
"Buy 1000 feathers from the fishing shop and 50 fishing bait, fletch 50 Bronze Bolts, drop them after.",FALSE,10,880
Hand in Sheep shearer miniquest,FALSE,30,910
"Go east over the bridge and do the god statue, Zilyana for prayer experience.",FALSE,,910
Enter the H.A.M. Hideout directly south of the statue and pickpocket a H.A.M member,FALSE,30,940
Enter the Cow pen and milk the Prized dairy cow in the north east corner,FALSE,,940
"Catch 10 pike and 50 salmon, after catching the 10 pikes, fly fish if not level 30 yet. Recommended to bank them at the Marketplace.",FALSE,60,1000
"When you caught 50 salmon, bank at the marketplace and get: Super Large Egg, Extra fine flour,  Top-quality milk, Pot of Flour, Jug(of water), Mithril Hatchet from your bank",FALSE,,1000
"Complete Cook's Assistant, Make some bread at the range.",FALSE,10,1010
Chop oak logs and burn them untill 30 firemaking.,FALSE,,1010
Get 30 firemaking and burn 25 willow logs,FALSE,60,1070
"Bank at either Lumbridge bank, get 3 Soft clay from your bank.",FALSE,,1070
Um & Falador,FALSE,,1070
Lodestone teleport to Draynor Village,FALSE,,1070
"At the northern building make two clay rings and an unfired bowl, fire the clay rings but do not fire the bowl. Sell one clay ring to Morgan where you started Vampyre Slayer",FALSE,,1070
Buy like 30-40 Wines from Fortunato in the draynor market,FALSE,,1070
Do the Necromancy! quest at the white portal north of the draynor lodestone,FALSE,10,1080
Conjure a skeleton at the City of Um ritual site.,FALSE,10,1090
Buy 4 Basic ghostly ink and 200 Weak necroplasm from Lupe on the way to Um lodestone,FALSE,,1090
"Unlock the Um lodestone, Get 6 Potato seeds, 3 Redberries, 3 Onions, 4 balls of wool, garlic, stake, stake hammer and some food from your bank",FALSE,,1090
Home teleport to Draynor lodestone,FALSE,,1090
Go back into the Underworld portal and complete a Lesser Necroplasm ritual.,FALSE,10,1100
"Go back out through the portal, go north to draynor manor, kill count draynor, return to morgan. Put the xp on magic to make combat easier.",FALSE,30,1130
Head west towards Falador farm,FALSE,,1130
Grab a cabbage and eat it,FALSE,10,1140
"Buy 6 Compost from Sarah south of Falador Farm, use 2 to compost the Allotment patches for farming xp, and use the other 4 to protect the potatos",FALSE,,1140
"Plant the 6 potato seeds, compost and protect your seeds and put the weeds in the compost bin",FALSE,30,1170
Note and unnote the onions at the tool leprechaun,FALSE,,1170
Dance in the Falador Party Room,FALSE,10,1180
"Collect duck food from the Sack of duck food south of Falador park, you need this for Duck Quest.",FALSE,,1180
Sit with Sir Tiffy Cachien inside falador park,FALSE,10,1190
"Buy 500 woad leaves from Wyson the gardener in falador park, ",FALSE,,1190
"Buy a Wizard's mind bomb from the Rising Sun south west of Falador square, buy a steel mace from Flynn north of here.",FALSE,,1190
Start the Knight's Sword quest in the castle courtyard - Squire Asrol,FALSE,,1190
Unlock the Falador Lodestone,FALSE,,1190
"Make a small detour to Draynor village to make Yellow, Red and Blue dyes at Aggie north of Draynor market for Goblin Diplomacy. Also go to Ned to make some rope with 4 balls of wool",FALSE,10,1200
"Go to the bank, you need the Yellow, Red and Blue dyes, your best magic equipment, runes for your best offensive spell and some food",FALSE,,1200
"Lodestone teleport to Falador, run north, start What's mine is yours at Doric's house, talk untill you get an ore bagb and mining sites map. Run further north and slightly east pray at Bandos' remains, you should get two tasks here, also one for restoring 50 prayer points",FALSE,20,1220
"Go west to Goblin village, kill 15 goblins and bury the bones to spawn a Goblin Raider Boss and kill it, Keep one bone",FALSE,20,1240
"Complete Goblin Diplomacy, you can get 3 goblin mails by searching crates behind the generals' hut, behind the western hut and up the ladder in the middle of the gate entrance.",FALSE,,1240
Edgeville & Wilderness,FALSE,,1240
"Go east towards Edgeville, kill a muggler there and unlock the Edgeville lodestone",FALSE,10,1250
Talk with Oziach in his house north of Edgeville lodestone for dragon slayer,FALSE,,1250
"Go north and jump into the wilderness, enter the chaos tunnels and leave again after",FALSE,20,1270
Start Enter the abyss at the Mage of Zamorak,FALSE,,1270
"Go north east towards the Wilderness Lodestone and activate it, kill a black unicorn",FALSE,20,1290
Lodestone teleport back Edgeville,FALSE,,1290
"Get feathers, 1x Soft Clay woad leaves and any gloves(if you're not wearing any) from your bank.",FALSE,,1290
Go south to behind the training centre north of Gunnarsgrunn(Barbarian Village),FALSE,,1290
"Enter the Jail, the second jail to the left, the only one thats empty contains a poster, click on the poster.",FALSE,,1290
Go down the stairs just north of you.,FALSE,,1290
Go up the stairs west of you.,FALSE,,1290
"Go south past the wall, and go up all the way north to the stairs",FALSE,,1290
Pull the old lever in the room north west of you with 3 cockroach soldiers.,FALSE,,1290
Go back down the same stairs you just came up from,FALSE,,1290
Enter the Jail door,FALSE,,1290
"Loot the treasure chest for 10k gp, two 500 xp lamp and a task, put one lamp on prayer, activate Improved Reflexes & Superhuman Strength at the same time, put the other on a skill of choice.",FALSE,30,1320
Head back to the room with the lever and the cockroach soldiers and go up the rope,FALSE,,1320
"Go south to Gunnarsgrunn and mine a coal ore, Make a bowl on the potter's wheel and fire it.",FALSE,10,1330
"Do Stronghold of Security, all monsters aren't aggro",FALSE,,1330
Catch a trout in the river.,FALSE,,1330
"Head back north, enter Edgeville dungeon, grab some nettles (if you don't have any gloves, theres a leather gloves spawn south of Edgeville bank) directly leave it and use the lever to the wilderness",FALSE,,1330
Leave through the lever and run north east to unlock the Ardougne lodestone,FALSE,,1330
"Do the Player-Owned farm tutorial, If you're not 17 farming yet, shovel some manure.",FALSE,10,1340
Fill all beehives east of Player-Owned farm with woad leaves,FALSE,,1340
Run back to the lever to teleport back into the wilderness,FALSE,10,1350
"Go north through the cobweb, then west to mage arena, into the building, through the cobwebs, flip the lever and buy like 25-50 Cosmic, Law and Nature runes. Bank everything except air, fire and law runes.",FALSE,10,1360
"Teleport to Taverley with the spell, 3 air, 1 fire, 1 law rune",FALSE,30,1390
Taverley and Burthorpe,FALSE,,1390
"Grab the free attack potion supplies from the herblore shop south west of the entrance, make the attack potion and buy an extra vial of water for Duck Quest and an empty vial for The Dig Site. If infinite samples, make 10 attack potions",FALSE,10,1400
Talk with Pikkupstix in his house north of the taverley entrance to start Wolf Whistle quest,FALSE,,1400
"Run further north and do the god statue, pick Juna for prayer experience.",FALSE,10,1410
Start Druidic Ritual at Kaqemeex in the stone circle,FALSE,,1410
"Go north and collect a free Bird snare from Ayleth Beaststalker the hunter tutor across Heroes guild, catch 5 birds here.",FALSE,10,1420
"Go further north to Burthorpe and complete 10 laps, collecting the Wicked hood from Tam McGrubor on the way there. do NOT claim the essences, you want them for Priest in Peril later on.",FALSE,20,1440
Surge a distance of 1 tile,FALSE,10,1450
Unlock Burthorpe Lodestone,FALSE,,1450
"Get from your bank: Pickaxe of the Ages, your best magic equipment, runes for your best offensive water spell and roughly 20 food.",FALSE,,1450
"go south, next to the Furnaces and anvils, buy two ropes from Jack Oval, enter the Burthorpe mine and mine the common gem rocks untill you get an opal, also mine roughly 10 silver bars.",FALSE,,1450
"Go south, collect 5 flax and spin them into bowstring.",FALSE,,1450
"Go further south, collect the free potato and potato seeds from Head Farmer Jones and plant the seeds.",FALSE,,1450
Unlock Taverley lodestone,FALSE,,1450
"Cook the Raw potato on the range in the building across the lodestone, if you  burn it, buy another potato from Mess Sergeant Ramsey next to you",FALSE,10,1460
"Talk to Scalectrix south of the lodestone at the well, chat option 1",FALSE,,1460
"Go east of the river to Sanfew's house directly across the entrance, talk to him for Druidic Ritual, chat option 1-4, He should give you an empty vial",FALSE,,1460
Talk with Pikkupstix to continue Wolf Whistle,FALSE,,1460
Go upstairs his house and search the cluttered drawers in the north west corner,FALSE,,1460
"Go to the pet shop south of his house and ask the owner about white hare meat, chat option 1",FALSE,,1460
"Go slightly north and enter the Burthorpe Slayer cave, head south and fill your vial at the subterranean spring for a vial of living water",FALSE,,1460
"Home teleport to Taverley lodestone, and go onto White wolf mountain untill you see Stikklebrix's body, search this.",FALSE,,1460
"Go south, just north of witch's house there'll be wandering wyrmwood, take from one of them.",FALSE,,1460
"Complete Witch's House, the witch's experiment is weak to water spells",FALSE,10,1470
"Home teleport to Taverley lodestone, go north, on the west side of the lake bait the sparkling fishing spot for a stone fish, gather-scales from it, using the chisel option.",FALSE,,1470
"Go north then east across the lake, talk with Sanfew to finish Druidic Ritual, then go across to Pikkupstix, talk to him, infuse the pouch.",FALSE,,1470
"Home teleport to Taverley lodestone, go south to the well and talk to Scalectrix, watch the cutscene and Wolf Whistle completed.",FALSE,,1470
"Head to the bank, get out the Redberries, jug or bucket (empty or filled with water) from your bank",FALSE,,1470
"Go to the range where you cooked the Raw Potato earlier, make at least 3 redberry pies, you can get Pie Dishes and Pots of Flour at Mess Sergeant Ramsey.",FALSE,,1470
"Bank the redberry pies and remaining ingredients, get your Pickaxe of Ages, Ore bag, Mining sites map, Vial of Water and duck food from your bank.",FALSE,,1470
Detours #1,FALSE,,1470
Lodestone teleport to Varrock,FALSE,,1470
Claim 250k more gp from May,FALSE,,1470
"Talk with the Guildmaster in the champions guild about the map pieces to get the key, protection against dragon breath and about buying a boat.",FALSE,,1470
Complete Duck quest at Breadstix west of the Champions Guild,FALSE,30,1500
"Mine Iron Ore in the Varrock south-west mine without excavator relic active untill a living rock brawler appears, kill it, take the ore it drops.",FALSE,,1500
"Mine Any ore with Excavator relic active in the Varrock south-East mine untill a living rock brawler appears, kill it and take the ore it drops.",FALSE,,1500
"Teleport using the Archaeology Journal, if you step one tile north east or south east you can surge through these walls as shortcut.",FALSE,,1500
"Complete The Dig Site, during the quest pan for an uncut Jade.",FALSE,10,1510
"Items needed: Wicked hood, Pickaxe of Ages, Unfired Bowl, Wizard's Mind Bomb, Crayfish Cage, Silk, Ore bag, Mining sites map, Clay ring.",FALSE,,1510
Lodestone Teleport to Varrock,FALSE,,1510
"Talk with the Mage of Zamorak in his temple south of Aubury, chat options 2-1",FALSE,,1510
"Teleport to the rune essence mine with Aubury, mine 50 pure essence.",FALSE,30,1540
"Mine 20 Mithril, 30 Adamant in the south-east Varrock mine.",FALSE,60,1600
"Teleport to the runecrafting guild with your wicked hood, teleport with Archmage Sedridor on the second floor",FALSE,,1600
"Lodestone teleport to Edgeville, go ontop of Ice Mountain and talk to the Oracle, chatoption 1",FALSE,,1600
"Go inside the Dwarven mine, use the Unfired Bowl, Wizard's mind bomb, crayfish cage and silk on the magic door.",FALSE,,1600
Open the chest and search it for the map part.,FALSE,,1600
"Mine some Coal inside the dwarven mines untill a living rock brawler appears, kill it and take the ore it drops.",FALSE,,1600
Go west and buy an iron crossbow and equip it (or keep it for later if not 10 ranged),FALSE,30,1630
"Buy a rune pickaxe from Nurmof north of you, mine any ore with it.",FALSE,30,1660
Lodestone Teleport to Lumbridge,FALSE,,1660
Talk with Duke Horacio for anti-dragon shield,FALSE,,1660
Bless your clay ring at Father Aereck,FALSE,,1660
"Grab coal, 5 iron ores from your bank.",FALSE,,1660
"Smelt a steel bar at the furnace, 2 iron bars, make 100 iron bolts (unf), if you banked it",FALSE,10,1670
"Get the Scrying orb back and fill your inventory with 1 air talisman, your air runes and the rest rune or pure essence.",FALSE,,1670
"Lodestone teleport to Ardougne, Buy a meat pie from Sandwich Lady in the north west corner of the Ardougne market, then head to the north east corner and teleport with Wizard Cromperty",FALSE,,1670
"Lodestone teleport to Varrock, speak to the Mage of Zamorak twice",FALSE,,1670
"Lodestone teleport to Edgeville, go into the wilderness, talk with the Mage of zamorak to complete Enter the abyss, Enter the abyss, go to the water altar, use your air talisman on the water altar.",FALSE,30,1700
"Lodestone teleport to Edgeville, get 25 pure essence, go back to the water altar and make 50 water runes",FALSE,40,1740
Port Sarim & Surroundings,FALSE,,1740
"Get out your best magic gear with runes for your best offensive spell, Pickaxe of Ages, Ore bag, Mining sites map, redberry pie, 2 iron bars and food, ",FALSE,,1740
Lodestone teleport to Draynor Village,FALSE,,1740
Go east to Port Sarim,FALSE,,1740
Start Pirate's treasure just outside of Port Sarim's pub,FALSE,,1740
"Go south east and talk with Gudrik to reclaim the Keenblade, Quickbow and Mindspike, equip one of them and use special attack on a seagull, you will have to drop some food to get the inventory space. Can destroy everything you get after you use the spec.",FALSE,30,1770
Go south east and unlock the Port Sarim Lodestone,FALSE,,1770
"Rightclick Gudrik to travel to Ashdale, unlock the lodestone",FALSE,30,1800
Teleport to Port Sarim Lodestone,FALSE,,1800
"Go to the Rimmington mine west of Port Sarim, mine some ores, watch the cutscene and take the ore thats dropped.",FALSE,,1800
Go to Melzar's Maze north-west of rimmington and complete it for the map part.,FALSE,,1800
"Kill Wormbrain in the Port Sarim prison, you don't need telekinetic grab if you loot the map piece with area loot.",FALSE,,1800
Go to Thurgo south of Port Sarim in his hut.,FALSE,10,1810
Lodestone teleport to Falador,FALSE,,1810
Talk to Squire Asrol in Falador Castle.,FALSE,,1810
"Climb the ladder to the east, the the staircase behind Sir Renitee",FALSE,,1810
"Enter Sir Vyvin's room, open the cupboard and then search it.",FALSE,,1810
Lodestone teleport to Port Sarim,FALSE,,1810
Buy the ship Lady Lumbridge from Klarense by the Void knight Squire south west of the sailors to Karamja.,FALSE,,1810
Give Thurgo the portrait,FALSE,,1810
"Go to Asgarnian Ice dungeon south of his house, mine 1 blurite ore with excavator turned off, and 2 more with it turned on.",FALSE,,1810
Talk to Thurgo with the blurite ore and 2 iron bars for a Blurite sword.,FALSE,,1810
"Lodestone teleport to Falador, complete the knight's sword at Squire Asrol.",FALSE,,1810
"Talk with Doric north of Falador, withdraw the ores from ore bag and make 2 high-quality bronze bars, smith a high-quality bronze sword and dagger, talk with Doric.",FALSE,,1810
"Head to Artisan's workshop, talk to Aksel. Make a Steel Warhammer and bank it. While you are here you could smith a full set of Steel, Mithril and Adamant armour as well for the equip tasks. Potentially getting the chance to complete a ceremonial sword for another task.",FALSE,,1810
Put a piece of coal and 2 steel bars from your metal bank to your normal bank.,FALSE,,1810
Talk with Squire Cerlyn in the west tower on the ground floor of White Knights' castle,FALSE,,1810
"Go back to Doric, finish the rest of What's mine is yours.",FALSE,,1810
"Lodestone Teleport to Draynor, talk with Ned in his house north east of the bank. chatoptions 2-1",FALSE,,1810
Karamja,FALSE,,1810
"Get out your best magic gear with runes for your best offensive water spell, Pickaxe of Ages, White Apron, couple of food.",FALSE,,1810
"Lodestone teleport to Port Sarim, Pay-fare the sailors to go to Musa Point.",FALSE,,1810
"Pick 10 bananas, buy a Karamjan rum from Zembo south of the plantation, talk with Luthas about the officer, talk with him a second time for a job. Use the karamjan rum on the crate, then right-click fill the crate, Talk with Luthas",FALSE,10,1820
"If there are no bananas on trees, you can buy them at the charter ship on musa point where you arrived.",FALSE,,1820
Talk with the customs officer to return to port sarim,FALSE,,1820
"If you forgot your white apron, you can collect the White Apron from the wall in the fishing store north of the lodestone.",FALSE,,1820
Attempt to open the door in the back of Wydin's food store south of the fishing store and take the job.,FALSE,,1820
"Search the crate with the banana on it, with the rum return to Redbeard Frank north of the docks.",FALSE,,1820
Go back to Karamja.,FALSE,,1820
Kill a snake west of the Banana Plantation,FALSE,10,1830
"Kill 2 imps, keep its ashes, if you hadn't killed an imp prior, kill another and scatter its ashes.",FALSE,,1830
"Pick up the Seaweed on the coast northeast of the volcano, drop it and pick it up 5x",FALSE,10,1840
"Enter tzhaar ontop of Karamja volcano and kill a Tzhaar-Ket with magic, they are weak to water runes, safespot it.",FALSE,30,1870
"Go north and east when you enter the main square, enter the fight caves and leave straight away",FALSE,,1870
"Go west into brimhaven, enter Brimhaven Agility Arena untill you get 1 ticket, then you can leave again.",FALSE,10,1880
Go west and unlock Brimhaven Lodestone.,FALSE,,1880
Pick a pineapple around it.,FALSE,10,1890
"Enter Brimhaven Dungeon south east of lodestone, go west, chop vines and go through, go west into the north western corridor, cross the stepping stones.",FALSE,20,1910
"Lodestone teleport back to Brimhaven, ",FALSE,,1910
"Go north west, rope swing to Moss Giant island and back",FALSE,,1910
Mine a gold ore from the gold mine north east of you,FALSE,,1910
"Go to the docks north of brimhaven, buy 5 swamp paste from the Trader Crewmembers. After you bought it travel to Ardougne with the Customs officer.",FALSE,,1910
Head east towards Witchaven and complete Sea Slug quest,FALSE,,1910
Bank everything except your magic gear with runes for your best offensive spell.,FALSE,,1910
"Lodestone teleport to Port Sarim, Pay-fare the sailors to go to Musa Point.",FALSE,,1910
"Go to the dock north of the Banana plantation and fish 100 Lobsters, If you get 50 fishing during it, also fish 50 Swordfish, its recommended to bank them all with the next step.",FALSE,60,1970
"With a full inventory of lobsters (or swordfish!) go to Stiles south of Karamja Volcano, note them",FALSE,30,2000
Lodestone teleport to Brimhaven,FALSE,,2000
Start Jungle potion at Trufitus in his house northeast of Tai Bwo Wannai,FALSE,,2000
"Collect 3 Snake weed, 2 Ardrigal, Sito Foil, Volencia moss, you need to go back to Trufitus after each herb. Next up is the Rogues purse, collect 2, while you're collecting it, kill a Jogre.",FALSE,,2000
Go back to Trufitus to complete the quest.,FALSE,,2000
"Go south of Tai bwo wannai and fish a karambwanji, can drop it after.",FALSE,10,2010
"Go farther south and go on Cairn isle, you can surge to skip the chance to fail.",FALSE,,2010
"Lodestone teleport to Brimhaven, ",FALSE,,2010
Detours #2,FALSE,,2010
"Go to the bank, get out your spade, Chest key(that you got from Redbeard Frank), Pickaxe of Ages and Woad Leaves",FALSE,,2010
"Lodestone teleport to Varrock, go upstairs in the Blue Moon Inn and open the chest for a pirate message, read it",FALSE,,2010
"Lodestone teleport to Falador, enter Falador park, stand on the X and dig, kill the gardener and Pirate's Treasure is completed.",FALSE,,2010
"Lodestone teleport to Ardougne, collect the beehives and refill them.",FALSE,,2010
Desert,FALSE,,2010
Lodestone teleport to Al-Kharid,FALSE,,2010
"Head north to Al-Kharid mine to mine a gem rock, stay here untill 18 crafting.",FALSE,10,2020
"Head south east to Het's Oasis (used to be Dual Arena), in the north west corner of it, Catch a whirligig, could stay here untill 29 hunter for catch 10 green salamanders tasks later, but it will be fairly slow.",FALSE,10,2030
"If 30 farming, harvest a rose from the rose bush, this does take a couple of minutes.",FALSE,10,2040
"Go south and clear the Fort Debris, this takes just over 5 minutes. If not 12 Archaeology yet, excavate the venator remains right outside of it untill 12.",FALSE,10,2050
"Go south then east to Abbey of St. Elspeth Citharede, complete One Piercing Note.",FALSE,10,2060
"Lodestone teleport to Al-Kharid, run south to Shantay Pass, Buy a few bowl of water and bank them.",FALSE,,2060
"Get out your best magic gear, runes for your best air spell and a couple of food.",FALSE,,2060
"Enter the Desert, use the magic carpet to Menaphos.",FALSE,10,2070
"Kill a Crocodile, they spawn everywhere across the river.",FALSE,10,2080
Enter Menaphos,FALSE,10,2090
